circ_mv,close,float_share,free_share,index,level_0,pb,pe,pe_ttm,ps,ps_ttm,total_mv,total_share,trade_date,ts_code,turnover_rate,turnover_rate_f,volume_ratio
19255.0446,7.05,2731.212,2731.212,2720,,4.3354,41.1295,120.1322,4.9016,6.1394,119245.36099999999,16914.2356,20070625,000018.SZ,4.1555,4.1555,0.81
25396.159,7.1,3576.9238,2731.212,2710,,4.3662,41.4212,120.9842,4.9364,6.183,120091.0728,16914.2356,20070709,000018.SZ,3.2662,4.2775,1.52
24685.2299,4.82,5121.417,3463.2376,2480,,5.0998,,,7.8718,8.2445,81526.6156,16914.2356,20080630,000018.SZ,0.34299999999999997,0.5072,0.53
26631.3684,5.2,5121.417,3463.2376,2465,,5.5019,,,8.4923,8.8945,87954.0251,16914.2356,20080721,000018.SZ,1.1654,1.7234,1.8
48065.2583,4.82,9972.0453,4121.4938,1635,,6.544,198.7037,,87.1839,83.0071,81526.6156,16914.2356,20111226,000018.SZ,0.2465,0.5964,0.43
47068.0538,4.72,9972.0453,4121.4938,1625,,6.4083,194.5812,,85.3751,81.285,79835.192,16914.2356,20120111,000018.SZ,0.3437,0.8316,0.83
299161.359,30.0,9972.0453,5089.8332,860,,38.7503,1182.5642,1005.8516,460.6523,437.4295,507427.06799999997,16914.2356,20150728,000018.SZ,6.6634,13.055,1.23
262962.8346,26.37,9972.0453,5089.8332,855,,34.0616,1039.4739,884.1435,404.9134,384.5005,446028.3928,16914.2356,20150804,000018.SZ,4.5088,8.8336,1.03
204526.6491,20.51,9972.0453,5089.8332,835,,26.5438,808.4797,1178.3665,314.9326,301.4615,346910.9722,16914.2356,20150901,000018.SZ,2.7763,5.4393,0.65
266610.2658,3.54,75313.6344,66308.6063,170,,2.5475,15.8167,12.0336,0.9253,0.9451,601178.7339,169824.5011,20180627,000018.SZ,7.6037,8.6363,0.84
261338.3114,3.47,75313.6344,66308.6063,150,,2.5711,15.5039,11.7956,0.907,0.9265,589291.0188,169824.5011,20180725,000018.SZ,5.079,5.7687,1.53
31958.7816,8.0,3994.8477,3994.8477,3775,,3.9012,137.0384,125.5485,20.7202,21.3932,145538.4704,18192.3088,20020124,000019.SZ,1.5396,1.5396,2.46
28055.2147,5.09,5511.83,3994.8477,2705,,3.7579,167.1502,89.7708,11.3671,9.8353,92598.8518,18192.3088,20060815,000019.SZ,3.0134,4.1577,1.69
29488.2905,5.35,5511.83,3994.8477,2690,,3.9499,175.6883,94.3563,11.9477,10.3377,97328.8521,18192.3088,20060905,000019.SZ,1.9056,2.6293,0.54
86079.0958,11.74,7332.1206,7332.1206,2420,,6.672000000000001,48.8845,48.8845,11.1099,11.1099,213577.7053,18192.3088,20080401,000019.SZ,1.4422,1.4422,1.83
46412.3234,6.33,7332.1206,7332.1206,2305,,3.5248,26.3577,31.8581,5.9903,6.7426,115157.3147,18192.3088,20080918,000019.SZ,1.2403,1.2403,1.11
26688.918999999998,3.64,7332.1206,7332.1206,2280,,1.9665,15.1567,15.3925,3.4446,3.9747,66220.004,18192.3088,20081030,000019.SZ,1.3768,1.3768,0.84
31454.7974,4.29,7332.1206,7332.1206,2270,,2.3176,17.8633,18.1412,4.0597,4.6845,78045.0048,18192.3088,20081113,000019.SZ,4.1963,4.1963,1.6
118777.1557,8.41,14123.3241,6502.3719,1895,,4.9556,,,8.3087,7.9182,152997.31699999998,18192.3088,20100602,000019.SZ,1.1132,2.4179,0.7
287567.6995,11.4,25225.2368,16407.0563,720,,3.5703,257.6074,345.8126,9.3239,9.3915,343231.4098,30108.0184,20150731,000019.SZ,2.7886,4.2874,0.49
216180.2794,8.57,25225.2368,16407.0563,680,,2.6432,193.6575,61.4004,7.0093,6.2442,258025.7177,30108.0184,20150929,000019.SZ,1.7876,2.7484,0.54
