ts_code,closelow,closehigh,pe_ttmlow,pe_ttmhigh,pblow,pbhigh,turnover_rate_flow,turnover_rate_fhigh,ps_ttmlow,ps_ttmhigh,total_mvlow,total_mvhigh
300629.SZ,15.31,54.15,62.9406,239.2889,4.3124,10.3961,0.456,23.7209,6.0584,14.4169,153100.0766,361000.1805
300630.SZ,42.04,112,48.4203,125.5841,9.357,20.4585,0.4694,10.1615,14.5735,40.3825,722325.7223,1496368.257
300631.SZ,13.96,35.09,29.0476,80.5043,2.3615,6.2033,0.6701,29.3571,3.6689,12.2678,145110.336,360107.616
300632.SZ,10.41,22.52,21.1553,49.1358,2.907,5.1481,0.8233,38.576,2.7679,5.7576,156712.14,296563.8
300633.SZ,20.87,46.89,38.2935,93.3693,7.6648,17.4563,0.7421,16.3939,8.2238,17.6931,834820.87,1875646.89
300634.SZ,10.32,65.46,31.3523,198.8683,3.8099,24.1661,0.0136,71.497,6.698,42.4855,412810.32,2618465.46
300635.SZ,10.72,21.78,27.7711,57.6672,2.3576,5.0496,0.8385,51.9674,3.2882,7.25,145448.96,295511.04
300636.SZ,16.15,32.27,25.3823,67.0421,2.0599,4.2317,0.378,22.5691,4.8767,8.8084,131452.925,262348.646
300637.SZ,17.25,36.15,19.9555,50.011,3.7171,7.1648,0.6529,27.1022,4.7483,8.793,212654.55,446734.47
300638.SZ,20.84,62.29,36.124,94.7292,6.5672,16.8365,2.2554,48.9843,2.4808,8.1185,236880,754883.7894
300639.SZ,13.47,71.63,23.0096,73.5766,2.5439,7.0162,0.5501,29.4835,4.4738,14.3435,245164.776,651954.771
300640.SZ,9,32.43,33.1127,79.3717,4.3037,9.1858,0.6307,33.9386,2.4602,5.2213,129888,259440
300641.SZ,4.67,16.09,29.3257,49.5383,1.7444,3.5318,0.3971,20.7816,1.9063,3.9076,228643.2,463392
300642.SZ,33.61,111.18,21.7359,52.9873,3.0659,7.6361,1.142,13.243,8.759,22.0143,305323.8272,673329.4278
300643.SZ,7.91,18.11,45.7916,132.7249,3.7732,9.261,0.975,54.8462,5.1071,11.4158,158200,362200
300644.SZ,25.96,71.83,29.4409,94.6652,2.4568,6.7375,0.0306,84.026,1.5566,4.3491,166144,459712
300645.SZ,27.27,50.01,35.1356,74.7832,3.4101,6.2014,0.5146,46.5286,3.6695,6.6732,181800.0009,333400.0017
300647.SZ,11.45,30.8,37.3183,518.1364,3.2002,13.4804,1.128,87.3767,4.6671,14.8643,176563.38,681662.52
300648.SZ,14.35,70.88,33.4799,165.8945,3.6891,9.6415,1.2076,36.2723,5.5193,17.1095,194299,479857.6
