ts_code,closelow,closehigh,pe_ttmlow,pe_ttmhigh,pblow,pbhigh,turnover_rate_flow,turnover_rate_fhigh,ps_ttmlow,ps_ttmhigh,total_mvlow,total_mvhigh,close,closerate,pe_ttm,pe_ttmrate,pb,pbrate,turnover_rate_f,turnover_rate_frate,ps_ttm,ps_ttmrate,total_mv,total_mvrate,mv,mv_low,mv_high
002689.SZ,3.16,31.49,33.0212,736.47,2.4015,16.9867,0.1309,23.4725,2.8775,10.6387,329686.1891,2071949.316,5.43,8.012707377,604.9973,81.31026736,4.1328,11.87025204,7.2747,30.60544264,4.587,22.02623306,566517.7237,13.59332761,,,
002690.SZ,16.66,101.2,30.7251,170.7707,5.4204,25.1077,0.032,7.2194,10.7056,63.6116,1126216,4177680,26.28,11.37922877,39.6035,6.339649371,7.6907,11.53179969,2.2975,31.52043855,14.3301,6.850829774,1776528,21.31147541,,,
002691.SZ,6.54,35.6,51.2046,1067.6533,2.5477,8.3336,0.1389,50.1796,4.8413,28.3226,211800,712000,8.44,6.538196834,196.6577,14.30993025,3.2745,12.5615721,10.376,20.45754756,6.8876,8.714594166,286960,15.0259896,,,
002692.SZ,3.19,34.66,25.1238,143.882,1.5033,8.618,0.2175,33.5075,0.7979,4.3991,229088.574,1131406.38,4.74,4.925325707,95.8635,59.56616048,2.2317,10.23795803,6.9069,20.09432262,1.1344,9.34410752,340401.204,12.33629983,,,
002693.SZ,3.61,20.96,55.5882,502.1091,2.6157,9.6204,0.2944,48.2776,4.2339,53.159,146205,878612.808,5.24,9.39481268,,,4.0635,20.6689794,8.0892,16.24485236,6.0925,3.798868066,212220,9.013421113,,,
002694.SZ,3.68,44.59,19.7004,9317.2008,1.974,16.163,0.0027,47.8507,1.1472,10.6179,209433.6,1541030.4,5.19,3.691029088,,,3.1501,8.288815279,7.0739,14.77846514,1.8657,7.586556432,309945.1392,7.548196211,,,
002695.SZ,9.88,84,27.0483,206.9887,1.7936,10.8618,0.731,64.9292,2.5573,14.4549,269782.4389,1715352.906,13,4.209390178,38.6352,6.43929879,3.5253,19.09640281,2.289,2.42685932,3.5205,8.095750403,668048.0664,27.55075844,,,
002696.SZ,6.78,31.6,13.8932,138.6619,1.1915,6.0947,0.0283,49.4343,0.898,2.9717,166848,586687.5736,9.13,9.46817083,116.8808,82.54281723,1.6736,9.832354381,3.1882,6.395781889,1.139,11.62173892,360918.6609,46.22495665,,,
002697.SZ,4.59,18.49,22.5541,85.6873,2.5373,7.607,0.2303,30.9712,0.8764,3.0366,624240,1479200,5.4,5.827338129,23.2872,1.161195694,2.8185,5.546679291,2.1699,6.309509481,1.0172,6.517915008,734400,12.88481332,,,
002698.SZ,7.73,86.35,31.4451,184.0749,2.6942,20.7848,0.0782,35.2562,5.8606,57.4966,526954.1,3462635,12.6,6.194352582,47.2878,10.37982098,4.1599,8.101997723,1.8708,5.09579851,9.3692,6.794871795,858942,11.30871887,,,
002699.SZ,4.4,58.25,26.9072,2948.0723,1.1114,35.0639,0.0783,26.7639,4.7158,61.4765,301818,2590368,7.23,5.255338904,48.4509,0.737503676,1.8162,2.075841249,8.4262,31.28241449,8.3599,6.420111098,657621.0802,15.54709664,,,
002700.SZ,6.55,30.2,36.1549,83.2925,2.8486,11.9492,0.256,33.3934,7.4536,24.5257,276689.6064,903993.5232,11.31,20.12684989,67.1968,65.85379824,4.695,20.28877217,13.1128,38.79845733,10.5162,17.93921076,477764.8013,32.05387206,,,
002701.SZ,4.9,43.08,14.5457,35.5963,1.9565,8.64,0.1714,13.6935,1.4319,5.3975,1154060.544,3120673.92,5.53,1.650078575,18.2024,17.3710013,2.2061,3.73457021,1.7415,11.61136214,1.5931,4.064958644,1302439.757,7.54491018,,,
002702.SZ,3.86,37.85,64.0518,5852.3937,2.3762,13.659,0.053,85.4293,1.7315,12.7467,185573.36,1070398,5.03,3.442188879,69.301,0.090685728,3.0066,5.587265572,6.3999,7.434030287,2.1129,3.462488198,241822.28,6.357069803,,,
002703.SZ,3.31,52.01,88.4725,656.2635,1.7796,11.4323,0.076,65.8932,2.1788,19.8337,261372.3748,1642776.704,5.62,4.743326489,606.612,91.25532106,3.0014,12.65759839,4.9118,7.347319546,3.9165,9.842593274,443780.286,13.20452726,,,
002705.SZ,6.9,25.86,13.7955,51.3029,1.5483,5.4352,0.1608,19.7575,0.6854,1.9209,561272.0599,1316142.309,11.99,26.84599156,19.003,13.88392691,2.5713,26.31917466,2.4835,11.85250578,1.1382,36.64912991,960965.9891,52.9486928,,,
